Фрейм,Значение,А-группа,А-класс (сумма),Форма,А-класс (реальный),перф.EP,перф.ES,перф.P,перф.P2,перф.S,перф.MP,перф.EMP,перф.Q,имперф.P,имперф.P2,имперф.S,имперф.MP,Источник,Комментарии
,радоваться,agda- / agdanase-,"<ES, S; S>",agda-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,радоваться,agda- / agdanase-,"<ES, S; S>",agdanase-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,"ремонтировать, чинить",tago-,"<ES, P; P>",tago-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,сердить,ajaktaloan- / ajaktačeon-,"<ES, S; S>",ajaktaloan-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,сердить,ajaktaloan- / ajaktačeon-,"<ES, S; S>",ajaktačeon-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,сердиться,ajaktala- / ajaktače-,<ES; S>,ajaktala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,сердиться,ajaktala- / ajaktače-,<ES; S>,ajaktače-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,"скользить, кататься (с горки)",susuəkəči-,"<ES, P; P>",susuəkəči-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,скучать,ǯōŋgo- / ǯōŋgonase-,<S; S>,ǯōŋgo-,<?; S>,—,—,—,—,—,—,—,—,0,0,1,0,[Oskolskaya 2017],найхинский говор
,скучать,ǯōŋgo- / ǯōŋgonase-,<S; S>,ǯōŋgonase-,<S; ?>,0,0,0,0,1,0,0,0,—,—,—,—,[Oskolskaya 2017],найхинский говор
,слушать,dosoǯa-,<P; P>,dosoǯa-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,слышать,dolǯe-,"<ES, S; S>",dolǯe-,"<ES, S; S>",0,1,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,"сообщать, говорить1",gusərə-,<P; P>,gusərə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"сообщать, говорить2",un-,<ES; —>,un-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,сохнуть,xolgo-,<ES; P>,xolgo-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,спешить,buduri-,<P; P>,buduri-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,стрелять (из ружья),meočala- / meočače-,<ES; P>,meočala-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,стрелять (из ружья),meočala- / meočače-,<ES; P>,meočače-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,таять,ūn-,<ES; P>,ūn-,<ES; P>,0,1,0,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,терять,xuədə-,<ES; —>,xuədə-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,течь,xəjə-,<P; P>,xəjə-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,трескаться,kaltā- / kaltānase-,"<Q, MP; MP>",kaltā-,<Q; MP>,0,0,0,0,0,0,0,1,0,0,0,1,[Oskolskaya 2017],найхинский говор
,трескаться,kaltā- / kaltānase-,"<Q, MP; MP>",kaltānase-,<MP; ?>,0,0,0,0,0,1,0,0,—,—,—,—,[Oskolskaya 2017],найхинский говор
,тянуть1,tata-,<P; P>,tata-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,тянуть2,toaŋgo-,<P; P>,toaŋgo-,<P; P>,0,0,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,убивать,wā-,"<ES, P; P>",wā-,"<ES, P; P>",0,1,1,0,0,0,0,0,1,0,0,0,[Oskolskaya 2017],найхинский говор
,"ударить, удариться",pačela- / pačeče-,<Q; MP>,pačela-,<Q; —>,0,0,0,0,0,0,0,1,0,0,0,0,[Oskolskaya 2017],найхинский говор
,"ударить, удариться",pačela- / pačeče-,<Q; MP>,pačeče-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,удивляться,ərdəŋgəsi-,<S; S>,ərdəŋgəsi-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,уметь,otole-,<ES; S>,otole-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,умирать,bu-,<ES; —>,bu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,уставать,jada-,<ES; S>,jada-,<ES; S>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,уходить,ənu-,<ES; —>,ənu-,<ES; —>,0,1,0,0,0,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
,храпеть,xončera- / xončerap-,<Q; MP>,xončera-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,храпеть,xončera- / xončerap-,<Q; MP>,xončerap-,<Q; ?>,0,0,0,0,0,0,0,1,—,—,—,—,[Oskolskaya 2017],найхинский говор
,целовать,oǯo- / oǯoče- / oǯokta-,"<Q, P; P, MP>",oǯo- ,<Q; P>,0,0,0,0,0,0,0,1,1,0,0,0,[Oskolskaya 2017],найхинский говор
,целовать,oǯo- / oǯoče- / oǯokta-,"<Q, P; P, MP>",oǯoče-,<P; ?>,0,0,1,0,0,0,0,0,—,—,—,—,[Oskolskaya 2017],найхинский говор
,целовать,oǯo- / oǯoče- / oǯokta-,"<Q, P; P, MP>",oǯokta-,<MP; MP>,0,0,0,0,0,1,0,0,0,0,0,1,[Oskolskaya 2017],найхинский говор
,"чесаться, зудеть",xotorse-,<S; S>,xotorse-,<S; S>,0,0,0,0,1,0,0,0,0,0,1,0,[Oskolskaya 2017],найхинский говор
